Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AFGD,"American Financial Group, Inc.",27.1,n/a,2020,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgd
AFGH,"American Financial Group, Inc.",25.3,n/a,2015,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh
AFI,"Armstrong Flooring, Inc.",3.75,$80.98M,2016,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/afi
AFIB,"Acutus Medical, Inc.",37.38,$1.03B,2020,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/afib
AFIN,"American Finance Trust, Inc.",6.95,$754.27M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afin
AFINP,"American Finance Trust, Inc.",23.41,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afinp
AFL,Aflac Incorporated,36.9,$26.31B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl
AFMD,Affimed N.V.,3.52,$297.42M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd
AFT,Apollo Senior Floating Rate Fund Inc.,12.83,$199.8M,2011,n/a,n/a,https://old.nasdaq.com/symbol/aft
AFYA,Afya Limited,25.03,$2.33B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya
AG,First Majestic Silver Corp.,11.55,$2.48B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ag
AGBA,AGBA Acquisition Limited,10.37,$61.96M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agba
AGBAR,AGBA Acquisition Limited,0.2101,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbar
AGBAU,AGBA Acquisition Limited,10.7,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbau
AGBAW,AGBA Acquisition Limited,0.2399,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbaw
AGCO,AGCO Corporation,73.81,$5.53B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco
AGD,Aberdeen Global Dynamic Dividend Fund,9.77,$122.61M,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd
AGE,"AgeX Therapeutics, Inc.",0.8498,$32.03M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age
AGEN,Agenus Inc.,4.24,$777.8M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agen
AGFS,"AgroFresh Solutions, Inc.",2.51,$132.72M,2014,Finance,Business Services,https://old.nasdaq.com/symbol/agfs
AGI,Alamos Gold Inc.,10.1,$4.04B,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
AGIO,"Agios Pharmaceuticals, Inc.",41.26,$2.85B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio
AGLE,"Aeglea BioTherapeutics, Inc.",7.47,$333.16M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle
AGM,Federal Agricultural Mortgage Corporation,71.45,$766.86M,n/a,Finance,Finance Companies,https://old.nasdaq.com/symbol/agm
AGM.A,Federal Agricultural Mortgage Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm.a
AGM^A,Federal Agricultural Mortgage Corporation,25.23,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm^a
AGM^C,Federal Agricultural Mortgage Corporation,27.014,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm^c
AGM^D,Federal Agricultural Mortgage Corporation,27.05,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm^d
AGM^E,Federal Agricultural Mortgage Corporation,26.65,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm^e
AGM^F,Federal Agricultural Mortgage Corporation,25.84,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm^f
AGMH,AGM Group Holdings Inc.,15.3924,$444.7M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,13.99,$7.77B,2008,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc
AGNCM,AGNC Investment Corp.,23.72,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncm
AGNCN,AGNC Investment Corp.,24.45,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncn
AGNCO,AGNC Investment Corp.,23.45,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnco
